path,word,token,phrase,upload_date
content/asl_app_data/dictionary/SG ASL Arena 1 2023-8-12 CC.mp4,,ARENA 1,,
content/asl_app_data/dictionary/SG ASL Apartment 1 2023-7-20 CC.mp4,,APARTMENT 1,,
content/asl_app_data/dictionary/SG ASL Apartment 1 2023-7-20.mkv,,APARTMENT 1,,
content/asl_app_data/dictionary/SG ASL Apart (Alt) 2023-7-20 CC.mp4,,APART (ALT),,
content/asl_app_data/dictionary/SG ASL Apart (Alt) 2023-7-20.mkv,,APART (ALT),,
content/asl_app_data/dictionary/SG ASL Assign (Give) Two Handed 2023-9-18.mkv,,ASSIGN (GIVE) TWO HANDED,,
content/asl_app_data/dictionary/SG ASL Assign (Give) Two Handed 2023-9-18 CC.mp4,,ASSIGN (GIVE) TWO HANDED,,
content/asl_app_data/dictionary/SG ASL Anger 1 2023-7-1 CC.gif,,ANGER 1,,
content/asl_app_data/dictionary/SG ASL Anger 1 2023-7-1.mkv,,ANGER 1,,
content/asl_app_data/dictionary/SG ASL Archaelogy (Alt) 2023-8-6 CC.mp4,,ARCHAELOGY (ALT),,
content/asl_app_data/dictionary/SG ASL Archaelogy (Alt) 2023-8-6.mkv,,ARCHAELOGY (ALT),,
